scene,seed,v2v_method,mean_flow_epe,median_flow_epe,flow_mag_ratio,mean_sharpness,mean_frame_diff
scene01,0,dyref_head_v2_e20_256,0.3037276377694474,0.0783763974065463,1.730829239446155,290.8073085546493,1.510587661985367
scene01,0,dyref_head_v3_edge075_temp015_e20_256,0.30491441748445,0.0770846841618304,1.6310921864596823,287.3747203350067,1.5236348954458083
scene01,0,stage1_baseline,0.0,0.0,0.9999998285547606,270.46807837486267,1.4712313697451638
scene01,0,venhancer_n30,0.4283859884691617,0.1176225009425223,2.850453721462141,413.191300868988,1.7628086635044642
scene02,0,dyref_head_v2_e20_256,0.0906965673738528,0.004933325945529,1.3230454979621862,327.1164264678955,1.6078842405288938
scene02,0,dyref_head_v3_edge075_temp015_e20_256,0.0932133886223984,0.0060008070208246,1.349600311825441,307.42137682437897,1.6034291585286458
scene02,0,stage1_baseline,0.0,0.0,0.9999995876605968,313.5436716079712,1.654175046890501
scene02,0,venhancer_n30,0.1465575336700394,0.0131909271971207,2.0180805999278486,350.1649532318115,1.7446410164000496
scene03,0,dyref_head_v2_e20_256,0.1704912271114095,0.0129400983337543,2.0374398650589742,280.70792508125305,0.9629700675843254
scene03,0,dyref_head_v3_edge075_temp015_e20_256,0.172141847289389,0.0136924998577493,1.7890570031970607,268.85881447792053,0.9778960697234624
scene03,0,stage1_baseline,0.0,0.0,0.9999997004907316,254.61083102226257,0.940831017872644
scene03,0,venhancer_n30,0.2596408041223647,0.0222296238902749,5.603362682488921,329.713814496994,1.025360591827877
