frame_pair,mean_flow_epe,median_flow_epe,stage1_flow_mag,refined_flow_mag,flow_mag_ratio
0,0.04188491031527519,0.00567198172211647,0.006648804992437363,0.038904473185539246,5.851339408569919
1,0.16818241775035858,0.02865643799304962,0.5479975938796997,0.5746223330497742,1.0485854846473366
2,0.27397680282592773,0.029230549931526184,1.3211544752120972,1.3094568252563477,0.9911458802988724
3,0.03209131956100464,1.110942230297951e-05,0.004797644447535276,0.03002309240400791,6.257868867448724
4,0.21498435735702515,0.0035534389317035675,0.746232271194458,0.7564504742622375,1.013693046153704
5,0.2836742401123047,0.00267628557048738,1.248305320739746,1.2650727033615112,1.0134321084824887
6,0.015328260138630867,4.025041562272236e-06,0.005153139121830463,0.013298063538968563,2.5805702929561107
7,0.24958717823028564,0.0008476387010887265,0.8915941119194031,0.8875876069068909,0.9955063465381679
8,0.021126028150320053,4.3822183215525e-06,0.01816961169242859,0.006423262879252434,0.35351659973906074
9,0.2809712290763855,1.0664878573152237e-05,1.1626783609390259,1.1770983934402466,1.0124024174368829
10,0.18555015325546265,4.458942385099363e-06,0.7052627205848694,0.6871061325073242,0.9742555542918196
11,0.015056747943162918,3.543133516359376e-06,0.011188257485628128,0.005924938712269068,0.5295671309145887
12,0.22549574077129364,8.035342943912838e-06,1.035738468170166,1.0356812477111816,0.9999447442957943
13,0.20839251577854156,0.010351695120334625,0.6982435584068298,0.682051420211792,0.9768101720836709
14,0.018993517383933067,3.4209633668069728e-06,0.017391853034496307,0.002164877252653241,0.12447644328610818
15,0.2593134641647339,0.02050977572798729,1.1309021711349487,1.1117961406707764,0.9831054880051625
16,0.014433949254453182,4.1048806451726705e-06,0.0019165286794304848,0.012832751497626305,6.695795725573179
17,0.16496451199054718,5.430237251857761e-06,0.5392263531684875,0.5535885691642761,1.0266348364560598
18,0.21330426633358002,7.266814463946503e-06,0.7912141680717468,0.7998622059822083,1.0109300719705723
19,0.011336611583828926,3.1445185868506087e-06,0.001469188486225903,0.010019157081842422,6.819471416404579
20,0.15665565431118011,5.587069608736783e-06,0.4664444327354431,0.4610178470611572,0.9883660406747224
21,0.19846343994140625,5.333913577487692e-06,0.8088355660438538,0.8116602897644043,1.00349232131253
22,0.007121247239410877,2.4596997718617786e-06,0.0037108585238456726,0.0037435812409967184,1.0088153802649804
23,0.15783093869686127,3.319723873573821e-06,0.444496214389801,0.42930182814598083,0.9658165909852691
24,0.006628848612308502,1.6614033029327402e-06,0.006183218210935593,0.0005257081938907504,0.08502163852872006
25,0.17013660073280334,3.3244939459109446e-06,0.6093366146087646,0.5592953562736511,0.9178758237825546
26,0.11387196183204651,3.3923649880307494e-06,0.35233283042907715,0.34942784905433655,0.9917549798332654
27,0.00487152673304081,2.5816384550125804e-06,0.002235704567283392,0.0028096449095755816,1.2567100249248588
28,0.1566767394542694,0.009835224598646164,0.6673085689544678,0.681114912033081,1.0206895782761325
29,0.1666949838399887,0.015497968532145023,0.38471516966819763,0.40906789898872375,1.063300645796013
30,0.04740139842033386,0.01423014234751463,0.014738209545612335,0.03551819175481796,2.409937757060483
mean,0.1317742439287324,0.004553496318646554,0.47243941900125075,0.4743047669837852,1.7087365424836234
