frame_pair,mean_flow_epe,median_flow_epe,stage1_flow_mag,refined_flow_mag,flow_mag_ratio
0,0.0637601912021637,8.083590614660352e-07,0.0001867762766778469,0.06358326226472855,340.4064977128462
1,0.2640342712402344,0.01001200545579195,0.28900066018104553,0.19664187729358673,0.6804201428681799
2,0.14078377187252045,5.580641754932003e-06,0.09848472476005554,0.1225396916270256,1.2442506133115618
3,0.17096568644046783,4.521889422903769e-06,0.003750497940927744,0.17186449468135834,45.82432496832552
4,0.3813891112804413,0.027963992208242416,0.47877171635627747,0.24923722445964813,0.5205763221577093
5,0.24908393621444702,0.0159433763474226,0.26018673181533813,0.19515441358089447,0.7500551804419038
6,0.1527831107378006,0.003344033844769001,0.057397231459617615,0.1419765204191208,2.4735774195526408
7,0.2382739931344986,0.003589516505599022,0.25909608602523804,0.20110738277435303,0.7761883944201288
8,0.13785132765769958,0.0015968680381774902,0.07220834493637085,0.13280925154685974,1.8392504809712076
9,0.17922323942184448,0.0054691266268491745,0.12646056711673737,0.2006138116121292,1.5863743166927038
10,0.199678435921669,0.00037684000562876463,0.18294240534305573,0.17004314064979553,0.9294899727377529
11,0.13235729932785034,0.001482442137785256,0.0094663817435503,0.1288735717535019,13.613800827681446
12,0.2366190105676651,0.0077792746014893055,0.2509799599647522,0.17835792899131775,0.7106460687534805
13,0.2752571403980255,0.010529979132115841,0.31081852316856384,0.16698269546031952,0.537235324284093
14,0.16282032430171967,0.0002629010414239019,0.008843373507261276,0.15516485273838043,17.545869475294726
15,0.3892456889152527,0.018903743475675583,0.4963427782058716,0.2782785892486572,0.5606580691029073
16,0.17726272344589233,0.0028099992778152227,0.05113218352198601,0.17380745708942413,3.3991785823678726
17,0.23124361038208008,0.004810479935258627,0.1369854211807251,0.23123517632484436,1.688027510164752
18,0.5255343914031982,0.00742096733301878,0.628871738910675,0.36194589734077454,0.5755480318009727
19,0.2075360119342804,0.001799070741981268,0.0073039657436311245,0.20363914966583252,27.880589532817183
20,0.31869253516197205,0.015246793627738953,0.32062703371047974,0.32434433698654175,1.0115938232565893
21,0.4192001521587372,0.0012203131336718798,0.5049471855163574,0.2860754430294037,0.5665452656626082
22,0.20077629387378693,0.00031801778823137283,0.001621559145860374,0.20018425583839417,123.45095264635181
23,0.23323291540145874,0.006695285439491272,0.2517249286174774,0.24271787703037262,0.9642186362758758
24,0.2378329187631607,0.0009929563384503126,0.04781924560666084,0.24254192411899567,5.072055619477513
25,0.2633163034915924,0.0015026635956019163,0.23249006271362305,0.25647929310798645,1.1031838483009677
26,0.31493833661079407,0.0003158985637128353,0.3689783215522766,0.2228027582168579,0.6038369713460839
27,0.1935606747865677,1.0903690053964965e-05,0.0034737326204776764,0.19134856760501862,55.08426746328897
28,0.17322534322738647,1.0884023140533827e-06,0.19470763206481934,0.17456211149692535,0.8965344639056981
29,0.17326763272285461,2.5081008061533794e-06,0.08213502913713455,0.17126929759979248,2.0852159979352702
30,0.10183949768543243,1.1743402410502313e-06,0.014291013590991497,0.09518104791641235,6.660198082411029
mean,0.2305027703123708,0.004852036471599912,0.18554986491724249,0.19778591298287915,21.32390844402598
