scene,seed,v2v_method,mean_flow_epe,median_flow_epe,flow_mag_ratio,mean_sharpness,mean_frame_diff
scene01,0,stage1_baseline,0.0,0.0,0.9999998393116708,172.25455895442565,1.5911813160729786
scene01,0,venhancer_n30,0.4122684869974378,0.1144133598011519,3.3164826976153914,642.8136190674777,2.0013114081488714
scene02,0,stage1_baseline,0.0,0.0,0.999999153452086,233.9818749319786,1.675622728135851
scene02,0,venhancer_n30,0.1418469849500864,0.0276991635749124,3.957716832061599,506.83117328892513,1.853484865218874
scene03,0,stage1_baseline,0.0,0.0,0.9999996751841308,190.74362941163645,1.015092274499318
scene03,0,venhancer_n30,0.2848074384151943,0.0302191260492517,6.676405237869444,529.0140780140318,1.1813821338471913
