frame_pair,mean_flow_epe,median_flow_epe,stage1_flow_mag,refined_flow_mag,flow_mag_ratio
0,0.07031334936618805,0.009084179997444153,0.004110936541110277,0.06781072169542313,16.495160182041417
1,0.14103880524635315,0.040253542363643646,0.5575705766677856,0.5600084066390991,1.004372217670022
2,0.2074214220046997,0.034520700573921204,1.280216097831726,1.300344705581665,1.015722812442995
3,0.054633624851703644,0.001230958616361022,0.029730627313256264,0.04458371177315712,1.4995881623189484
4,0.15245315432548523,0.021815188229084015,0.7800089120864868,0.759695827960968,0.9739578695187456
5,0.22081102430820465,0.018490519374608994,1.2107386589050293,1.179619312286377,0.9742972142396377
6,0.03187967464327812,1.2508691725088283e-05,0.01929609663784504,0.01620038039982319,0.83956731292362
7,0.19614654779434204,0.04169277474284172,0.8849861025810242,0.8794212341308594,0.9937119030784165
8,0.034669872373342514,1.9838571461150423e-05,0.01940303109586239,0.0177861787378788,0.9166696421455099
9,0.19984038174152374,0.00081210071220994,1.0799484252929688,1.0996814966201782,1.0182722254899663
10,0.12699231505393982,0.00013660770491696894,0.6513237953186035,0.6434447765350342,0.9879030541809918
11,0.024783814325928688,6.33589515928179e-05,0.010667591355741024,0.01673527993261814,1.5687950247233087
12,0.17472635209560394,0.012451594695448875,1.0560921430587769,1.041347622871399,0.9860385950746126
13,0.15951207280158997,0.0252198725938797,0.6578753590583801,0.6796603798866272,1.0331141913086486
14,0.0269266776740551,4.0683054976398125e-05,0.02437090128660202,0.004146097227931023,0.17012483362533726
15,0.18038760125637054,0.026605911552906036,1.0922977924346924,1.0958081483840942,1.003213726093358
16,0.01875573955476284,6.419616966013564e-06,0.01582997851073742,0.003670427482575178,0.23186545461391467
17,0.10985466092824936,0.0013368999352678657,0.46273699402809143,0.46805262565612793,1.0114873493620877
18,0.149833545088768,0.0010984623804688454,0.7782494425773621,0.7537357211112976,0.9685014472096558
19,0.012711242772638798,5.407861863204744e-06,0.008563070558011532,0.005460163112729788,0.6376400497156732
20,0.11732620000839233,0.018890131264925003,0.4270436465740204,0.4319715201854706,1.0115394843960082
21,0.13339067995548248,0.009223808534443378,0.7645236253738403,0.7697797417640686,1.006875008367345
22,0.013890985399484634,4.725412054540357e-06,0.006252451799809933,0.00885859876871109,1.4168177355326474
23,0.09167107939720154,0.0015843238215893507,0.4192858636379242,0.4165428578853607,0.9934578865518083
24,0.015180608257651329,4.546613126876764e-06,0.007311902940273285,0.011807695031166077,1.6148571690631701
25,0.13496729731559753,0.0030555538833141327,0.5609442591667175,0.5839292407035828,1.0409754993504245
26,0.09002283960580826,0.0004173277993686497,0.3422514498233795,0.34904491901397705,1.0198493212975726
27,0.0330459401011467,5.393225728766993e-05,0.015441524796187878,0.024203898385167122,1.5674541879828194
28,0.1316317617893219,0.0003012693487107754,0.6813666224479675,0.6327928304672241,0.9287112111636128
29,0.08656951785087585,0.0007898594485595822,0.3505033254623413,0.3488301634788513,0.9952263735770647
30,0.0160348042845726,4.90291358801187e-06,0.0067303720861673355,0.012732645496726036,1.8918161456085671
31,0.11309561878442764,0.008708007633686066,0.3959161937236786,0.4094236195087433,1.0341168551780011
32,0.016011733561754227,7.3876071837730706e-06,0.011247069574892521,0.009140009060502052,0.8126562099645672
33,0.12250538170337677,0.00396118126809597,0.6094536185264587,0.613938570022583,1.0073589544572372
34,0.12361040711402893,0.00753429438918829,0.5599039196968079,0.5492464900016785,0.9809655922563348
35,0.028264133259654045,2.617539939819835e-05,0.02084208093583584,0.012247317470610142,0.5876242219801534
36,0.10618602484464645,3.163841392961331e-05,0.3751845061779022,0.3817354440689087,1.0174605496989653
37,0.10794701427221298,2.6476773200556636e-05,0.5265800952911377,0.5295832753181458,1.0057031589246002
38,0.008152003400027752,4.3964437281829305e-06,0.004252969287335873,0.005063811782747507,1.1906504689138873
39,0.10444294661283493,0.003565956838428974,0.5305576324462891,0.5285196900367737,0.9961588482636516
40,0.015577786602079868,4.664801053877454e-06,0.0067330882884562016,0.01160708349198103,1.7238844577512265
41,0.1099727526307106,0.0020271881949156523,0.526124894618988,0.5274710059165955,1.0025585203927614
42,0.08876238018274307,0.0037663024850189686,0.3956643342971802,0.4172915816307068,1.0546605668295512
43,0.02074686996638775,6.765784746676218e-06,0.006766781210899353,0.016272947192192078,2.40482478105443
44,0.09097906947135925,2.0473526092246175e-05,0.5449407696723938,0.5513795018196106,1.0118154529581866
45,0.08711031079292297,0.0004144393024034798,0.22710978984832764,0.23916758596897125,1.0530923197884734
46,0.019829919561743736,5.671554390573874e-06,0.010949895717203617,0.012989785522222519,1.186291997182588
47,0.07659425586462021,1.0447520253364928e-05,0.2923624813556671,0.2900814712047577,0.992197972659446
48,0.02432398870587349,6.244958967727143e-06,0.018915385007858276,0.013771304860711098,0.7280474372853382
49,0.06986276060342789,3.218583879061043e-05,0.30693644285202026,0.3228813409805298,1.0519484993729202
50,0.08611682802438736,1.0209573702013586e-05,0.590765118598938,0.5828373432159424,0.9865804784351486
51,0.018010945990681648,4.181015356152784e-06,0.01200934313237667,0.010559008456766605,0.8792320735660606
52,0.11971959471702576,8.644223271403462e-06,0.5677211880683899,0.583375096321106,1.0275732142924674
53,0.1882309764623642,1.012625580187887e-05,1.579038381576538,1.5975046157836914,1.0116946011608472
54,0.014237754978239536,2.830322046065703e-06,0.00805920735001564,0.008533891290426254,1.058898267635094
55,0.10722791403532028,3.329288119857665e-06,0.7333897352218628,0.722226083278656,0.9847779955801951
56,0.019444171339273453,4.736287337436806e-06,0.008072003722190857,0.01776590384542942,2.2009258726343575
57,0.19895930588245392,7.211179308797e-06,1.319353461265564,1.2664542198181152,0.9599051712830936
58,0.167830228805542,6.4310852394555695e-06,1.019101858139038,0.9539531469345093,0.9360724150928155
59,0.013038897886872292,3.3301707844657358e-06,0.0090378662571311,0.01001676730811596,1.1083098532370912
60,0.1521853506565094,2.2311687644105405e-06,1.06956946849823,1.0366199016571045,0.969193607798729
61,0.10228920727968216,2.58736577052332e-06,0.6149279475212097,0.6140984296798706,0.9986510162187404
62,0.03519361838698387,0.0113458763808012,0.014562968164682388,0.02287045307457447,1.570451649102865
mean,0.09069656737385288,0.004933325945529081,0.43050352497292416,0.4301005400909436,1.3230454979621862
