frame_pair,mean_flow_epe,median_flow_epe,stage1_flow_mag,refined_flow_mag,flow_mag_ratio
0,0.0,0.0,0.004110936541110277,0.004110936541110277,0.9999975674701921
1,0.0,0.0,0.5575705766677856,0.5575705766677856,0.9999999820650509
2,0.0,0.0,1.280216097831726,1.280216097831726,0.9999999921888189
3,0.0,0.0,0.029730627313256264,0.029730627313256264,0.9999996636466317
4,0.0,0.0,0.7800089120864868,0.7800089120864868,0.9999999871796338
5,0.0,0.0,1.2107386589050293,1.2107386589050293,0.9999999917405794
6,0.0,0.0,0.01929609663784504,0.01929609663784504,0.9999994817607412
7,0.0,0.0,0.8849861025810242,0.8849861025810242,0.9999999887003876
8,0.0,0.0,0.01940303109586239,0.01940303109586239,0.9999994846168726
9,0.0,0.0,1.0799484252929688,1.0799484252929688,0.9999999907402987
10,0.0,0.0,0.6513237953186035,0.6513237953186035,0.9999999846466535
11,0.0,0.0,0.010667591355741024,0.010667591355741024,0.9999990625821432
12,0.0,0.0,1.0560921430587769,1.0560921430587769,0.9999999905311294
13,0.0,0.0,0.6578753590583801,0.6578753590583801,0.9999999847995524
14,0.0,0.0,0.02437090128660202,0.02437090128660202,0.9999995896747609
15,0.0,0.0,1.0922977924346924,1.0922977924346924,0.9999999908449876
16,0.0,0.0,0.01582997851073742,0.01582997851073742,0.999999368287602
17,0.0,0.0,0.46273699402809143,0.46273699402809143,0.9999999783894525
18,0.0,0.0,0.7782494425773621,0.7782494425773621,0.9999999871506494
19,0.0,0.0,0.008563070558011532,0.008563070558011532,0.9999988321959682
20,0.0,0.0,0.4270436465740204,0.4270436465740204,0.9999999765831904
21,0.0,0.0,0.7645236253738403,0.7645236253738403,0.9999999869199596
22,0.0,0.0,0.006252451799809933,0.006252451799809933,0.9999984006299726
23,0.0,0.0,0.4192858636379242,0.4192858636379242,0.9999999761499239
24,0.0,0.0,0.007311902940273285,0.007311902940273285,0.9999986323688368
25,0.0,0.0,0.5609442591667175,0.5609442591667175,0.999999982172917
26,0.0,0.0,0.3422514498233795,0.3422514498233795,0.9999999707817171
27,0.0,0.0,0.015441524796187878,0.015441524796187878,0.9999993523959806
28,0.0,0.0,0.6813666224479675,0.6813666224479675,0.9999999853236134
29,0.0,0.0,0.3505033254623413,0.3505033254623413,0.9999999714696011
30,0.0,0.0,0.0067303720861673355,0.0067303720861673355,0.9999985142002531
31,0.0,0.0,0.3959161937236786,0.3959161937236786,0.99999997474213
32,0.0,0.0,0.011247069574892521,0.011247069574892521,0.9999991108803016
33,0.0,0.0,0.6094536185264587,0.6094536185264587,0.9999999835918607
34,0.0,0.0,0.5599039196968079,0.5599039196968079,0.999999982139793
35,0.0,0.0,0.02084208093583584,0.02084208093583584,0.9999995202016903
36,0.0,0.0,0.3751845061779022,0.3751845061779022,0.9999999733464481
37,0.0,0.0,0.5265800952911377,0.5265800952911377,0.9999999810095369
38,0.0,0.0,0.004252969287335873,0.004252969287335873,0.9999976487071005
39,0.0,0.0,0.5305576324462891,0.5305576324462891,0.9999999811519065
40,0.0,0.0,0.0067330882884562016,0.0067330882884562016,0.9999985147996403
41,0.0,0.0,0.526124894618988,0.526124894618988,0.9999999809931065
42,0.0,0.0,0.3956643342971802,0.3956643342971802,0.9999999747260522
43,0.0,0.0,0.006766781210899353,0.006766781210899353,0.9999985221946875
44,0.0,0.0,0.5449407696723938,0.5449407696723938,0.9999999816493821
45,0.0,0.0,0.22710978984832764,0.22710978984832764,0.9999999559684346
46,0.0,0.0,0.010949895717203617,0.010949895717203617,0.9999990867501275
47,0.0,0.0,0.2923624813556671,0.2923624813556671,0.999999965795886
48,0.0,0.0,0.018915385007858276,0.018915385007858276,0.9999994713300993
49,0.0,0.0,0.30693644285202026,0.30693644285202026,0.9999999674199662
50,0.0,0.0,0.590765118598938,0.590765118598938,0.999999983072799
51,0.0,0.0,0.01200934313237667,0.01200934313237667,0.999999167315684
52,0.0,0.0,0.5677211880683899,0.5677211880683899,0.9999999823857202
53,0.0,0.0,1.579038381576538,1.579038381576538,0.9999999936670317
54,0.0,0.0,0.00805920735001564,0.00805920735001564,0.999998759184724
55,0.0,0.0,0.7333897352218628,0.7333897352218628,0.9999999863646852
56,0.0,0.0,0.008072003722190857,0.008072003722190857,0.9999987611517591
57,0.0,0.0,1.319353461265564,1.319353461265564,0.9999999924205301
58,0.0,0.0,1.019101858139038,1.019101858139038,0.9999999901874383
59,0.0,0.0,0.0090378662571311,0.0090378662571311,0.9999988935453733
60,0.0,0.0,1.06956946849823,1.06956946849823,0.9999999906504438
61,0.0,0.0,0.6149279475212097,0.6149279475212097,0.9999999837379323
62,0.0,0.0,0.014562968164682388,0.014562968164682388,0.9999993133272682
mean,0.0,0.0,0.43050352497292416,0.43050352497292416,0.9999995876605969
